id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16219344,Wonderful double room facing Canal3,65918622,Sol &,,Bijlmer-Oost,52.31795349825292,4.980711750364706,Private room,59,1,91,2017-11-01,7.60,1,66
21395798,Spaceous and Cousy Villa by the water,14127351,Madelon,,Bijlmer-Oost,52.33055745392554,4.979718134676286,Entire home/apt,215,5,0,,,1,0
13993768,Spacious appartement near metro,46062643,Jeff,,Bijlmer-Oost,52.31943127407978,4.97826136140649,Entire home/apt,74,3,22,2017-10-01,1.31,1,0
14234823,Double Room in Amsterdam-Zuidoost,41892895,Dennis,,Bijlmer-Oost,52.31759716171239,4.971373997601928,Private room,46,2,27,2017-10-26,1.66,1,15
16333022,2 double beds in seperate rooms with a nice view,47499392,Inge,,Bijlmer-Oost,52.322438369631044,4.9869548058092645,Private room,90,2,1,2017-10-31,0.83,6,159
3522143,Quiet summer apartment,17736293,Eefje,,Bijlmer-Oost,52.324584742919754,4.978723905390833,Entire home/apt,50,3,3,2015-08-04,0.10,1,0
10907707,Lovely room 15 min to city center. Free parking,56258088,Kofi,,Bijlmer-Oost,52.31760099667676,4.985381723329465,Private room,40,3,106,2017-11-26,4.80,2,127
14591962,Modern Spacious Apartment with free Parking,16435997,Nicky,,Bijlmer-Oost,52.32541751286756,4.977255755054012,Entire home/apt,297,2,3,2017-10-22,1.36,1,359
9268952,"Big apartment, 110m², 2 bedrooms, 2wc,free parking",48144218,Paul,,Bijlmer-Oost,52.32127464362183,4.9696730624067875,Entire home/apt,125,2,43,2017-09-16,1.77,1,0
21593296,Cute cosy room in a lovely neighbourhood.,32075386,Sylvia,,Bijlmer-Oost,52.318210708243946,4.9886683740758,Private room,40,1,7,2017-12-04,6.56,1,360
19130306,"Amsterdam Studio, Parking Free!",90763639,Irina,,Bijlmer-Oost,52.32366792339095,4.959912868332828,Entire home/apt,85,1,17,2017-10-11,2.90,1,0
13925388,"Cozy appartement in Amsterdam, vlakbij de metro",46171946,Gererd,,Bijlmer-Oost,52.31799575944555,4.979164018855348,Entire home/apt,55,1,74,2017-11-20,4.37,2,247
3204444,Two story family house with garden.,16237594,Remco,,Bijlmer-Oost,52.31288905970509,4.980151236699917,Entire home/apt,90,5,2,2014-08-06,0.05,1,0
18645859,New One Bedroom Spot Amsterdam Close to the Centre,129556555,Brandon,,Bijlmer-Oost,52.31764084412495,4.981056414528581,Private room,40,1,34,2017-11-26,5.13,1,166
10663669,"Cozy, spacious appartment",55082978,Anne,,Bijlmer-Oost,52.319543454200065,4.980185386093979,Entire home/apt,40,4,0,,,1,0
21896705,"Private, spacious, newly built house",159757511,Alessandro,,Bijlmer-Oost,52.32649512935804,4.9657562427904365,Entire home/apt,150,3,0,,,1,350
10662701,Modern apartment close to the city!,19214363,Samantha,,Bijlmer-Oost,52.31535252513372,4.9811195839863105,Entire home/apt,100,3,4,2016-05-31,0.18,1,0
19160645,Big private room near Metro station,133980673,Andrei,,Bijlmer-Oost,52.3214137770608,4.968894669176022,Private room,73,2,5,2017-09-11,0.91,1,49
12680964,"Flat, 15min metro Amsterdam center",56894783,Lola,,Bijlmer-Oost,52.32104252028143,4.977695125471293,Private room,30,1,3,2016-06-27,0.16,1,0
21344369,Double room Royal City Bed&breakfast,154303157,Léo Conceição,,Bijlmer-Oost,52.31765431048588,4.965828099792252,Private room,39,1,2,2017-11-10,1.22,1,51
15970340,Spacious Apartment in the vibrant area of A'dam,96074261,Mirthe,,Bijlmer-Oost,52.321369270996186,4.972921344837026,Entire home/apt,650,1,2,2017-07-02,0.37,3,0
15886823,Green oasis in Amsterdam for 2 or 1,47499392,Inge,,Bijlmer-Oost,52.32046543052964,4.986541823698673,Private room,40,2,9,2017-09-27,0.88,6,151
19411524,Room,133405095,Mudasser,,Bijlmer-Oost,52.311808157115976,4.972898558857026,Private room,40,1,0,,,2,177
19842083,Lovely family home just outside Amsterdam centre.,532034,Max,,Bijlmer-Oost,52.32953607624044,4.980296025051711,Entire home/apt,120,4,3,2017-08-12,0.69,1,5
4402514,"12,5m2 privet room in a nice flat",22670971,Ara,,Bijlmer-Oost,52.32075380860257,4.975741186930377,Entire home/apt,80,30,29,2017-04-19,0.78,1,337
16546301,"Studio PRIVATE 18min Center, close to AFAS, ZIGGO",47501089,Mariah,,Bijlmer-Oost,52.31526767476713,4.982268690953537,Private room,48,1,13,2017-11-17,1.16,1,39
14950157,Nice house near Ajax Arena Stadion,94089877,Ajaxarena,,Bijlmer-Oost,52.32261005076944,4.9642859366711045,Private room,55,2,20,2017-10-20,1.37,1,172
7303805,Cozy room in the SE of Amsterdam,23023786,Robert,,Bijlmer-Oost,52.32211295081488,4.9626411051784975,Private room,45,1,7,2015-09-10,0.24,2,0
18089240,Refurbished Amsterdam apartment,41404202,Luc And Deeja,,Bijlmer-Oost,52.318743935185665,4.9816246089696605,Entire home/apt,95,1,7,2017-07-26,0.86,1,5
16750649,"Cozy & Clean studio Amsterdam, 15min City Center,",39949213,Rick,,Bijlmer-Oost,52.3145416415101,4.97724116815823,Entire home/apt,60,1,0,,,1,0
12031955,"Big, sunny spacious house",34267211,Irene,,Bijlmer-Oost,52.32484179665963,4.982480159171627,Entire home/apt,120,5,0,,,1,0
18750842,Spacious house in green oasis in Amsterdam,31812735,Carolina,,Bijlmer-Oost,52.327072969824066,4.979561845049924,Entire home/apt,150,4,2,2017-08-10,0.48,1,11
9115414,staying in green surroundings,47499392,Inge,,Bijlmer-Oost,52.32093767789479,4.987733661319591,Private room,40,2,6,2017-05-26,0.26,6,165
19137909,Studio Apartament in Amsterdam,133774023,Neyo,,Bijlmer-Oost,52.3253993167692,4.970166748545551,Entire home/apt,170,3,0,,,1,87
15818103,2 privat rooms with park arround for 4,47499392,Inge,,Bijlmer-Oost,52.32133417806939,4.988188385191581,Private room,85,2,16,2017-08-17,1.24,6,148
21173167,New design house for ten 15 min from center,20544193,Laura,,Bijlmer-Oost,52.320224348001716,4.960554454992986,Entire home/apt,236,1,6,2017-12-04,3.46,1,84
14684283,Nice room in A'dam SE near nature and heart centre,18991270,Maria,,Bijlmer-Oost,52.317305704668144,4.987757013533223,Private room,43,4,18,2017-11-16,1.22,3,83
20582373,Nice Room/15 minutes to city centre by metro,9561935,Remco,,Bijlmer-Oost,52.31703702091814,4.985950796439531,Private room,45,1,7,2017-11-26,3.62,1,3
20711931,Room,133405095,Mudasser,,Bijlmer-Oost,52.31091158055639,4.974097148871157,Private room,45,10,0,,,2,0
18597963,Nice house in quiet Area(20 min 2 CS)+free Parking,53049256,Ahmad,,Bijlmer-Oost,52.311662406541224,4.975041679852623,Private room,40,1,19,2017-09-19,2.70,2,5
19023941,San Bnb,124384271,Suzy,,Bijlmer-Oost,52.32302198645872,4.964044759088132,Private room,55,2,10,2017-09-20,1.81,1,81
3719167,"Luxe room in A´dam,15 mn to Town, be welcome..",18991270,Maria,,Bijlmer-Oost,52.316710723876675,4.986617637373466,Private room,44,3,40,2017-10-31,1.00,3,34
20422174,Cheap & Cosy room(20min to CS)+free Parking,53049256,Ahmad,,Bijlmer-Oost,52.31234881931262,4.9712005052094685,Private room,39,1,10,2017-11-02,3.19,2,19
591951,House on waterfront-free parking place,2580855,Martine,,Bijlmer-Oost,52.32698144329306,4.982948910311373,Entire home/apt,225,1,38,2017-07-24,0.59,1,356
5957043,Cosy apartment for 2-4 people,30922450,Alex,,Bijlmer-Oost,52.321135439420914,4.965789107853608,Entire home/apt,80,4,6,2016-08-07,0.19,1,0
6741962,Enjoy Amsterdam in a pretty home!,34981705,Silke,,Bijlmer-Oost,52.317592118197275,4.978286264564229,Entire home/apt,125,2,1,2015-08-05,0.04,1,0
7880299,Spacious apartment next to metro,41519829,Marly,,Bijlmer-Oost,52.32344011082727,4.972190539578077,Entire home/apt,85,2,7,2016-09-29,0.27,1,0
20770067,Spacious apartment in Amsterdam,32481492,Willem,,Bijlmer-Oost,52.322693971248306,4.974409588780625,Entire home/apt,100,4,2,2017-11-05,0.90,1,6
13262666,Laid back town house with garden and terrace!,9015391,Elle,,Bijlmer-Oost,52.31946953204911,4.96476080398304,Private room,42,1,13,2017-09-16,0.79,2,0
10670670,Luxery apartment near metro,54165843,Carvalho,,Bijlmer-Oost,52.31637788819628,4.982909355307574,Entire home/apt,130,5,0,,,1,0
