date;text,,,,,,,,,,,,,
"2018-09-14 15:46;""Gotham has such great sets"," they’re just so visually pleasing # SaveGotham # GothamSeason6 @ netflix @ reedhastings @ AmazonStudios @ TheDCUniverse @ hulu @ warnerbrostv @ Gotham pic.twitter.com/S3td6GlIsN""",,,,,,,,,,,,
"2018-09-14 15:43;""Stay positive Gothamites! We just need to keep showing what Gotham means to us all! # SaveGotham # GothamSeason6 @ netflix @ reedhastings @ AmazonStudios @ TheDCUniverse @ hulu @ warnerbrostv @ Gotham pic.twitter.com/lEDOYTVmB3""",,,,,,,,,,,,,
"2018-09-14 15:39;""This is going to amazing # SaveGotham # GothamSeason6 @ netflix @ reedhastings @ AmazonStudios @ TheDCUniverse @ hulu @ warnerbrostv @ Gotham https://twitter.com/shanewest/status/1040657982386843654 …""",,,,,,,,,,,,,
"2018-09-14 15:35;""Alfred needs a female friend. With those dancing skills he should be surrounded by pretty ladies lol. Bruce takes up way too much of his personal time lol # SaveGotham # GothamSeason6 @ netflix @ reedhastings @ AmazonStudios @ TheDCUniverse @ hulu @ warnerbrostv @ Gotham pic.twitter.com/mSwYvSGGZa""",,,,,,,,,,,,,
"2018-09-14 15:34;""@ FreeformTV @ Netflix @ Hulu @ ConstantinFilm @ NetflixUK @ NetflixLAT @ larrytanz @ reedhastings @ mmoszkowicz @ tascheim @ kareyburke @ lynnbarrieabc @ amazon @ AmazonStudios @ JeffBezos @ AppleTV @ CBC @ CBS @ MTV @ SonyCrackle @ SonyPictures @ berger710 @ OliverBerben # SAVESHADOWHUNTERS""",,,,,,,,,,,,,
"2018-09-14 15:31;""I miss season one Ed. # SaveGotham # GothamSeason6 @ netflix @ reedhastings @ AmazonStudios @ TheDCUniverse @ hulu @ warnerbrostv @ Gotham pic.twitter.com/K3fiOa7UMd""",,,,,,,,,,,,,
"2018-09-14 15:29;""“It’s good you’re changing. Just don’t change too much.” Bruce clearly didn’t listen lol # SaveGotham # GothamSeason6 @ netflix @ reedhastings @ AmazonStudios @ TheDCUniverse @ hulu @ warnerbrostv @ Gotham pic.twitter.com/1wBgyAt1D8""",,,,,,,,,,,,,
"2018-09-14 15:24;""Yes! I believe we can # SaveGotham # GothamSeason6 @ netflix @ reedhastings @ AmazonStudios @ TheDCUniverse @ hulu @ warnerbrostv @ Gotham pic.twitter.com/ZT0GLToVZQ""",,,,,,,,,,,,,
"2018-09-14 15:20;""Starting on September 17th until the 22nd we will be hosting a week of gratitude towards Gotham! Welobe using these temporary hashtags # SaveGotham # GothamSeason6 @ netflix @ reedhastings @ AmazonStudios @ TheDCUniverse @ hulu @ warnerbrostv @ Gotham pic.twitter.com/Rk04u7pbor""",,,,,,,,,,,,,
"2018-09-14 15:19;""Next Thursday we’re watching 1x12 What the Little Bird Told Him. Join as we tweet along as we watch! # SaveGotham # GothamSeason6 @ netflix @ reedhastings @ AmazonStudios @ TheDCUniverse @ hulu @ warnerbrostv @ Gotham pic.twitter.com/zY3EEnCFAU""",,,,,,,,,,,,,
"2018-09-14 15:17;""Get your letter ready so they will be sent on time! # SaveGotham # GothamSeason6 @ netflix @ reedhastings @ AmazonStudios @ TheDCUniverse @ hulu @ warnerbrostv @ Gotham pic.twitter.com/FON1mMvfy5""",,,,,,,,,,,,,
"2018-09-14 15:13;""Why not take a few minutes after the power hour to request more seasons on @ Gotham on @ Netflix. We want a # GothamSeason6! # SaveGotham @ reedhastings @ warnerbrostv pic.twitter.com/J9TdzBsFE9""",,,,,,,,,,,,,
"2018-09-14 15:09;""Welcome to today’s power hour! Happy Friday everyone! # SaveGotham # GothamSeason6 @ netflix @ reedhastings @ AmazonStudios @ TheDCUniverse @ hulu @ warnerbrostv @ Gotham pic.twitter.com/o7I7cwPvbK""",,,,,,,,,,,,,
"2018-09-14 14:17;""So proud to be a partner and backer of Wait What and MoS. Amazing interviews and insights with Reid Hoffman - the best master of scale.""",,,,,,,,,,,,,
"2018-09-14 13:09;""Yes"," although the alleged statements by Rachel Whetstone are more blatantly racist and imply she engages in unlawful employment discrimination. For @ netflix to ignore these allegations is unacceptable. Looking into this is a reasonable expectation @ theGrio""",,,,,,,,,,,,
"2018-09-14 13:06;""I’m not advocating @ netflix fire her because we don’t know if these allegations are true. Just look into them. They warrant investigation and the silence from # netflix is disturbing. @ reedhastings @ VernaMyers @ theGrio @ RepMaxineWaters @ ALSHARPTON_REV @ Kaepernick7 @ KingJames""",,,,,,,,,,,,,
"2018-09-14 12:55;""Kinda like how @ barneyh got a free pass.""",,,,,,,,,,,,,
"2018-09-14 11:57;""FWIW Bezos' fellow tech kingpin Reed Hastings is one of the world's foremost boosters of charter schools. He too believes in privately run schools"," though he wants to use public $$.""",,,,,,,,,,,,
"2018-09-14 11:40;""@ FreeformTV @ Netflix @ Hulu @ ConstantinFilm @ NetflixUK @ NetflixLAT @ larrytanz @ reedhastings @ mmoszkowicz @ tascheim @ kareyburke @ lynnbarrieabc @ amazon @ AmazonStudios @ JeffBezos @ AppleTV @ CBC @ CBS @ MTV @ SonyCrackle @ SonyPictures @ berger710 @ OliverBerben # SAVESHADOWHUNTERS""",,,,,,,,,,,,,
"2018-09-14 11:38;""Yes this is""",,,,,,,,,,,,,
"2018-09-14 11:38;""Wow @ FreeformTV @ Netflix @ Hulu @ ConstantinFilm @ NetflixUK @ NetflixLAT @ larrytanz @ reedhastings @ mmoszkowicz @ tascheim @ kareyburke @ lynnbarrieabc @ amazon @ AmazonStudios @ JeffBezos @ AppleTV @ CBC @ CBS @ MTV @ SonyCrackle @ SonyPictures @ berger710 @ OliverBerben # SAVESHADOWHUNTERSpic.twitter.com/DGO2boeQAW""",,,,,,,,,,,,,
"2018-09-14 11:06;""Save us @ FreeformTV @ Netflix @ Hulu @ ConstantinFilm @ NetflixUK @ NetflixLAT @ larrytanz @ reedhastings @ mmoszkowicz @ tascheim @ kareyburke @ lynnbarrieabc @ amazon @ AmazonStudios @ JeffBezos @ AppleTV @ CBC @ CBS @ MTV @ SonyCrackle @ SonyPictures @ berger710 @ OliverBerben # SAVESHADOWHUNTERS""",,,,,,,,,,,,,
